Date,Open,High,Low,Close,Adj Close,Volume
2000-06-30,96.135002,96.135002,96.135002,96.135002,70.231529,47541
2000-07-03,96.135002,96.135002,96.135002,96.135002,70.231529,15754
2000-07-04,96.135002,96.135002,96.135002,96.135002,70.231529,15034
2000-07-05,96.135002,96.135002,96.135002,96.135002,70.231529,18230
2000-07-06,96.135002,96.135002,96.135002,96.135002,70.231529,4615
2000-07-07,96.135002,96.135002,96.135002,96.135002,70.231529,11457
2000-07-10,96.135002,96.135002,96.135002,96.135002,70.231529,3678
2000-07-11,96.135002,96.135002,96.135002,96.135002,70.231529,4958
2000-07-12,96.135002,96.135002,96.135002,96.135002,70.231529,5578
2000-07-13,96.135002,96.135002,96.135002,96.135002,70.231529,2404
2000-07-14,96.135002,96.135002,96.135002,96.135002,70.231529,13680
2000-07-17,96.135002,96.135002,96.135002,96.135002,70.231529,5878
2000-07-18,96.135002,96.135002,96.135002,96.135002,70.231529,921
2000-07-19,96.135002,96.135002,96.135002,96.135002,70.231529,65038
2000-07-20,98.319000,98.319000,98.319000,98.319000,71.827026,9840
2000-07-21,98.319000,98.319000,98.319000,98.319000,71.827026,15005
2000-07-24,98.319000,98.319000,98.319000,98.319000,71.827026,7789
2000-07-25,98.319000,98.319000,98.319000,98.319000,71.827026,144
2000-07-26,98.319000,98.319000,98.319000,98.319000,71.827026,249
2000-07-27,98.319000,98.319000,98.319000,98.319000,71.827026,2300
2000-07-28,98.319000,98.319000,98.319000,98.319000,71.827026,7443
2000-07-31,98.319000,98.319000,98.319000,98.319000,71.827026,34126
2000-08-01,98.319000,98.319000,98.319000,98.319000,71.827026,8090
2000-08-02,98.319000,98.319000,98.319000,98.319000,71.827026,5351
2000-08-03,98.319000,98.319000,98.319000,98.319000,71.827026,7875
2000-08-04,96.135002,96.135002,96.135002,96.135002,70.231529,17379
2000-08-07,96.135002,96.135002,96.135002,96.135002,70.231529,10658
2000-08-08,96.135002,96.135002,96.135002,96.135002,70.231529,4755
2000-08-09,96.135002,96.135002,96.135002,96.135002,70.231529,4997
2000-08-10,96.135002,96.135002,96.135002,96.135002,70.231529,1141
2000-08-11,96.135002,96.135002,96.135002,96.135002,70.231529,1556
2000-08-14,96.135002,96.135002,96.135002,96.135002,70.231529,9049
2000-08-15,96.135002,96.135002,96.135002,96.135002,70.231529,6276
2000-08-16,96.135002,96.135002,96.135002,96.135002,70.231529,7638
2000-08-17,96.135002,96.135002,96.135002,96.135002,70.231529,4541
