,Sao Tome and Principe
2001,75951210.6852445
2002,85171308.1654435
2003,102085583.465275
2004,114582561.627097
2005,136450274.673234
2006,142775597.255916
2007,149146423.083742
2008,188021190.592847
2009,187820464.571058
2010,196652514.267255
2011,231489270.144529
2012,250680845.747837
2013,300554483.611626
2014,346528329.183227
2015,316066072.343754
2016,345495614.979982
2017,375614126.193877
2018,412253809.728799
2019,427425039.684339
2020,472914469.91933
2021,547092915.036334
