,Curacao
2011,2933128491.62011
2012,3024525139.6648
2013,3039944134.07821
2014,3048435754.18994
2015,3042737430.1676
2016,3014748603.35196
2017,3009497206.70391
2018,3020388817.27231
2019,2995185487.30261
2020,2496174735.64702
