,Channel Islands
1998,5945445051.30899
1999,6263177944.41707
2000,6439403014.0037
2001,6233310060.38969
2002,6663436031.24708
2003,7332574115.57254
2004,8553956571.09378
2005,8827299477.20007
2006,9676410337.59329
2007,11515258634.0085
