,Sint Maarten (Dutch part)
2011,936089385.47486
2012,985865921.787709
2013,1022905027.93296
2014,1245251396.64804
2015,1253072625.69832
2016,1263687150.83799
2017,1191620111.73184
2018,1185474860.3352
