,Nauru
2010,47564520.3910861
2011,66055407.6703145
2012,96927201.4848422
2013,98491843.6441982
2014,104654365.188653
2015,86529661.3694983
2016,99723394.9628767
2017,109359680.217211
2018,124021393.690412
2019,118724073.809183
2020,114626625.553023
2021,133218896.932607
