,San Marino
1999,1109098657.57511
2000,1005159388.24397
2001,1077413479.05282
2002,1168269230.76923
2003,1464326160.8154
2004,1723750000.0
2005,1785847531.40157
2006,1908167105.75837
2007,2185874623.59704
2008,2393437820.41892
2009,2056126701.86163
2010,1881214370.93994
2011,1813752783.96437
2012,1604779647.95066
2013,1678841811.66158
2014,1673973694.69908
2015,1419394763.11994
2016,1468377241.53199
2017,1528630704.92544
2018,1655300897.49646
2019,1616231696.0486
2020,1544713784.67671
