,Montenegro
2000,984297589.359934
2001,1159869245.92513
2002,1284685050.52413
2003,1707710053.14938
2004,2073234417.68066
2005,2257174480.78597
2006,2721903148.91482
2007,3680711743.77224
2008,4545674527.61096
2009,4159330369.5471
2010,4143033275.88493
2011,4544516982.18263
2012,4087725812.66864
2013,4465771672.62005
2014,4593852089.0956
2015,4054728172.94375
2016,4376929571.63126
2017,4856602178.63417
2018,5506944403.30186
2019,5542201150.91048
2020,4780722121.96227
2021,5809170961.78285
