,Kosovo
2008,5181776768.71247
2009,5015894692.97027
2010,5344014317.91065
2011,6341737193.76392
2012,6163785172.81254
2013,6735731172.79851
2014,7074657898.23303
2015,6295820481.52668
2016,6682832632.27806
2017,7180813375.50836
2018,7878508502.59802
2019,7899879086.43081
2020,7716925356.12536
2021,9007159195.74216
