,Eritrea
1992,477101651.648376
1993,467872714.755603
1994,531688311.688312
1995,578015625.0
1996,693535954.190067
1997,686490090.140141
1998,745526154.93283
1999,688921325.712043
2000,706370815.584416
2001,752368495.512622
2002,729321366.651861
2003,870247703.182758
2004,1109054005.43971
2005,1098425900.74116
2006,1211161879.6748
2007,1317974491.05691
2008,1380188800.0
2009,1856695551.21951
2010,1589515447.15447
2011,2065001626.01626
