,Oman
1965,63287594.5113414
1966,67768132.1758611
1967,107152720.243027
1968,188864890.808735
1969,239980801.535877
1970,256299496.040317
1971,301010587.102984
1972,366857738.40542
1973,483033932.135729
1974,1645917776.49102
1975,2096699189.34569
1976,2560220034.74233
1977,2741169947.88651
1978,2740301389.69311
1979,3733352634.62652
1980,5981760277.93862
1981,7259120150.55009
1982,7554719455.70353
1983,7932541690.79328
1984,8821366531.55762
1985,10005500579.0388
1986,7323822251.3089
1987,7811183094.92848
1988,8386215864.75943
1989,9372171651.49545
1990,11685045513.6541
1991,11341482444.7334
1992,12452275682.7048
1993,12493107932.3797
1994,12918855656.697
1995,13802600780.2341
1996,15277763328.9987
1997,15837451235.3706
1998,13996914694.4083
1999,15593456176.8531
2000,19507452535.7607
2001,19452000520.156
2002,20142756046.814
2003,21633708192.4577
2004,24763712873.8622
2005,31081991677.5033
2006,37215779713.9142
2007,42085379453.8362
2008,60905452535.7607
2009,48388363589.0767
2010,64993498049.4148
2011,77497529258.7776
2012,87408842652.7958
2013,89936020806.2419
2014,92699089726.9181
2015,78710793237.9714
2016,75128738621.5865
2017,80856697009.1027
2018,91505851755.5267
2019,88060858257.4772
2020,73971391417.4252
2021,85868626527.9584
